projectcode,naam,contour,bedrijf.id,id,created,modified,bedrijf
"24.17.1.022","Prins Bernhardlaan, Middelharnis ","GEOMETRYCOLLECTION(POLYGON((71442.70997199048 419161.6968147651,71461.69397070874 419174.38514744095,71466.56597327221 419169.67953941075,71471.857969427 419172.53651582927,71475.97397070874 419167.4107643967,71463.20597327221 419157.2432889298,71453.377969427 419153.2099193187,71451.19397070874 419157.2432889298,71447.41397070875 419155.3106363307,71442.70997199048 419161.6968147651)))","28641","687578356","2024-05-31T10:16:36.000Z","2024-11-07T10:18:57.000Z","28641"
"240193-B01","VO Woonblokken Ooievaarstraat/Vletstraat/Wiekstraat","GEOMETRYCOLLECTION(POLYGON((92965.71177373352 438739.83535255777,92927.77314092102 438751.31480568275,92915.62103154602 438715.20793068275,92957.50776438034 438696.6308158278,92971.20050634687 438737.8909579261,92965.71177373352 438739.83535255777)))","3146","683892691","2024-05-27T10:26:35.000Z","2024-11-05T08:11:08.000Z","3146"
"10883","Schildwolde ","GEOMETRYCOLLECTION(POLYGON((250121.14401699198 583927.1373623401,250216.613 583821.454,250314.17139401464 583890.5671137896,250290.84727716912 583919.0999488161,250308.54144112385 583936.3803883526,250221.27693200528 584048.5023497824,250121.14401699198 583927.1373623401)),POLYGON((250121.5461328159 583930.3523259097,250121.5461328159 583929.1467134212,250121.5461328159 583929.1467134212,250121.5461328159 583930.3523259097)),POLYGON((250121.5461328159 583929.1467134212,250121.5461328159 583929.1467134212,250121.5461328159 583929.1467134212,250121.5461328159 583929.1467134212)),POLYGON((250120.33971170953 583928.7448303276,250120.33971170953 583928.7448303276,250120.33971170953 583928.7448303276,250120.33971170953 583928.7448303276)),POLYGON((250119.5354432443 583928.3429656301,250119.5354432443 583928.3429656301,250119.5354432443 583928.3429656301,250119.5354432443 583928.3429656301)),POLYGON((250118.32902213788 583926.7354884442,250118.32902213788 583926.7354884442,250118.32902213788 583926.7354884442,250118.32902213788 583926.7354884442)))","4761150","663685943","2024-05-03T13:32:45.000Z","2024-10-30T14:10:44.000Z","4761150"
"24.3.1.027","Vredeweg 18 Zaandam","GEOMETRYCOLLECTION(POLYGON((118051.86896748445 493079.06153025525,118056.19908322745 493077.2295582102,118057.69796944618 493081.06004521355,118062.36117101555 493079.8942448212,118064.35968597386 493089.22064795997,118053.36785370318 493091.0526200051,118051.86896748445 493079.06153025525)),POLYGON((118034.04887577287 493101.54482353624,118037.8793627763 493127.02588925464,118023.39012932857 493129.5240329525,118019.39309941196 493103.8764243209,118034.04887577287 493101.54482353624)))","28641","652982977","2024-04-19T10:10:26.000Z","2024-11-04T14:45:25.000Z","28641"
"240176","VO Leeuwarden","GEOMETRYCOLLECTION(POLYGON((182327.43421092603 579377.3503379372,182335.38570306037 579377.2578787263,182335.66308069296 579368.2431056671,182327.20306289886 579368.335564878,182327.43421092603 579377.3503379372)))","138846503","631976117","2024-03-22T13:21:05.000Z","2024-11-06T08:42:27.000Z","138846503"
"BM5809","Sluispad 16 Zaandam","GEOMETRYCOLLECTION()","6541024","626403774","2024-03-15T11:44:58.000Z","2024-11-03T22:19:18.000Z","6541024"
"20220517BR","Bruininkhuizen Etten-Leur ","GEOMETRYCOLLECTION(POLYGON((102668.27949347917 398295.66789549665,102681.41163064934 398299.1740429642,102688.9300306683 398249.2865759582,102690.40845334233 398237.1257517925,102687.39044162088 398229.9058462654,102672.14876663887 398213.83636635856,102652.5611114242 398199.2267588131,102651.55550323748 398195.1988456539,102659.20153958551 398183.62842653395,102652.15981663702 398177.95782101323,102647.02003082009 398186.4055297124,102544.55770142219 398144.9488590003,102539.75955271705 398162.52983992506,102637.96165718786 398202.2735111421,102679.59879410578 398236.0337895969,102668.57135352491 398232.79267857334,102654.70238131867 398289.9334660628,102668.27949347917 398295.66789549665)))","14679013","406279370","2023-03-01T17:42:22.000Z","2024-11-08T21:03:50.000Z","14679013"
"P21M0022","P21M0022","GEOMETRYCOLLECTION()","6651431","25489033","2021-02-18T12:35:00.000Z","2024-11-03T21:59:03.000Z","6651431"
"P20M0098","P20M0098","GEOMETRYCOLLECTION(POLYGON((104175.65380156248 468381.2136992188,104131.51811796874 468374.6717070313,104134.22514921874 468354.24223437504,104179.29434843748 468360.8203203126,104175.65380156248 468381.2136992188)))","6651431","22497454","2020-08-31T10:19:00.000Z","2024-11-01T20:07:23.000Z","6651431"
"","Polygoon Tekentest","MULTIPOLYGON(((66403.5220768001 432894.3953863566,73284.80208951094 412250.55535096826,74144.96208841821 395047.3553204183,86187.20210867097 347738.5552378701,86187.20210772647 342577.59522857243,75865.28208212963 338276.7952187677,42319.04200141756 338276.7952119938,1031.36189808778 317632.9551660274,-35955.51818945512 326234.555173639,-47997.758217496594 331395.5151803369,-47137.59820337148 394187.1952936493,-5849.918099454575 418271.6753456219,-3269.438092432567 422572.4753538367,7052.481933678995 429453.75536825584,48340.1620360269 446656.9554072232,53501.12204840341 446656.9554082437))","1","5578911","2017-04-24T10:07:18.000Z","2017-10-16T00:53:52.000Z","1"
